,track_id,track_name,artist_names,artist_pop,artist_genres,album,track_pop,track_duration,added_at,acousticness,speechiness,key,liveness,instrumentalness,energy,tempo,time_signature,loudness,danceability,valence
37,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,90,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",I NEVER LIKED YOU,85,189.893,2022-05-13T12:02:30Z,0.314,0.34,1,0.0686,0.0,0.642,83.389,4,-4.474,0.463,0.339
38,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,93,"['canadian pop', 'pop']",Justice,88,153.19,2022-05-13T12:02:30Z,0.185,0.0478,2,0.415,2.91e-05,0.741,153.96,4,-5.569,0.601,0.441
39,3FkeNbs9Zeiqkr3WkbOiGp,Envolver,Anitta,83,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",Versions of Me,78,193.805,2022-05-13T12:02:30Z,0.152,0.0833,4,0.0914,0.00254,0.736,91.993,4,-5.421,0.812,0.396
40,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,92,"['pop', 'uk pop']",=,89,207.853,2022-05-13T12:02:30Z,0.281,0.0856,2,0.0424,0.0,0.859,141.02,4,-2.724,0.788,0.822
41,6mmPpaltUZK7xjNlBPQQ0p,Desesperados,Rauw Alejandro,90,"['puerto rican pop', 'trap latino']",VICE VERSA,85,224.996,2022-05-13T12:02:30Z,0.356,0.0783,1,0.0878,0.00125,0.694,90.02,4,-3.35,0.869,0.511
42,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,90,"['dance pop', 'pop']",Planet Her,90,172.626,2022-05-13T12:02:30Z,0.0888,0.0854,5,0.117,0.00294,0.764,107.998,4,-4.175,0.824,0.881
43,5MMW4CZsZiZt2iuqAXzzWC,The Heart Part 5,Kendrick Lamar,90,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",The Heart Part 5,82,332.362,2022-05-13T12:02:30Z,0.157,0.325,8,0.0657,0.0,0.815,97.911,4,-6.918,0.769,0.774
44,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,77,['modern alternative pop'],abcdefu,91,168.601,2022-05-13T12:02:30Z,0.299,0.0493,4,0.367,0.0,0.54,121.932,4,-5.692,0.695,0.415
45,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,78,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",Where Are You Now,90,148.197,2022-05-13T12:02:30Z,0.515,0.103,6,0.172,0.000411,0.636,120.966,4,-8.117,0.671,0.262
46,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,87,['pop'],SOUR,89,178.146,2022-05-13T12:02:30Z,0.335,0.154,9,0.0849,0.0,0.664,166.928,4,-5.044,0.563,0.688
47,48AJSd42lXpicsGqcgopof,X ÚLTIMA VEZ,Daddy Yankee,89,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",LEGENDADDY,89,192.477,2022-05-13T12:02:30Z,0.0789,0.0554,7,0.108,0.000167,0.855,90.04,4,-3.725,0.812,0.573
48,46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,86,"['british soul', 'pop', 'pop soul', 'uk pop']",30,83,224.694,2022-05-13T12:02:30Z,0.578,0.0282,5,0.133,0.0,0.366,141.981,4,-7.519,0.604,0.13
49,4d1CG5ei1E2vGbvmgf5KKv,This Love (Taylor’s Version),Taylor Swift,94,['pop'],This Love (Taylor’s Version),81,250.1,2022-05-13T12:02:30Z,0.302,0.0349,4,0.0672,0.0,0.494,144.039,4,-8.672,0.47,0.0524
